Date,Headlines,Author,Tag Text,True_Label,chatgpt_Headlines_Predicted_Label,chatgpt_Tag Text_Predicted_Label
28/04/2018,Peru Unearths Evidence of Ancient Mass Child Sacrifice Ritual,teleSUR tv HTTPS (press release) (blog),"The National Geographic team of experts, led by Peruvian explorer GabrielPrieto, reports that the children were aged between eight and 12 and buriedfacing the sea, while the llamas were all less than 18 months old and facedthe Andes. ""It is ritual killing, and it's very systematic,"" said JohnVerano, ...",negative,negative,negative
05/05/2018,This May Day ritual will give you a much-needed dose of love magic,HelloGiggles,"Even though your May Day might look different from others' depending onwhere you are in the world, everyone's May Day is connected at theritualistic pagan root. The holiday was originally celebrated by the ancientCelts in the British Isles, according to History.com, and was calledBeltane.",positive,positive,positive
05/05/2018,"Sex, Money, Ritual Murder: See Black-Metal Act Imperial Triumphant's Grim",New Video,"Revolver MagazineLike a cross between Deathspell Omega and Taxi Driver, shrouded abstractblack-metal trio Imperial Triumphant are proud to reveal their new video for""Swarming Opulence."" The lush video, courtesy of Brendan McGowan, shows theseedy underbelly of NYC and just what money can buy ?? whether ...",negative,negative,positive
05/05/2018,"I Tried YogaGlo's ""Women's Moon Circle"" Ritual To Celebrate The Pink Moon &",It Was Magical,"Elite DailyWith so much transformative energy surrounding us, I knew I wanted to makethe most of this full moon, so I tried YogaGlo's ""Women's Moon Circle""ritual to harness all that lunar magic and take those spiritual vibes to thenext level. If you've never heard of YogaGlo, it's an online yoga andmeditation ...",positive,positive,positive
12/05/2018,Mother-of-six is found dead with pentagrams carved into her hands following 'satanic ritual' after ...,Daily Mail,"A mother-of-six has been found murdered in southern Honduras after whatappears to have been a satanic ritual. Gloria Liceth Izaguirre Torres, 42,...",negative,negative,negative
12/05/2018,WATCH | 'Her heart was missing': Cop still believes Karabo Mokoena's death a 'ritual murder',Times LIVE,The lead investigator in the Karabo Mokoena case is still convinced thatthe young woman was murdered as part of a ritual killing ?? and has revealed...,negative,negative,negative
12/05/2018,Near death in Zambezi 'ritual' bath. . . Naked woman clings to tree for survival,Chronicle,A ??RITUAL?? bath in the flooded Zambezi River nearly ended in tragedy for a29-year-old Victoria Falls woman after she was swept away by its rising ...,negative,negative,negative
12/05/2018,Druid witch stabbed by neighbour angry at his noisy pagan rituals,Telegraph.co.uk,They had complained to the park owners about the rituals but had neverspoken directly to Mr Bennett until the evening of November 4 last year.,negative,negative,negative
12/05/2018,Karabo 'victim of ritual killing',HeraldLIVE,The lead investigator in the Karabo Mokoena case is still convinced thatshe was murdered as part of a ritual killing ?? and has revealed that 60% ofher ...,negative,negative,negative
19/05/2018,There will be blood: Earliest evidence of ritual vengeance found near,Jerusalem,"The Times of IsraelFound in a cave outside capital, millennium-old skull cracked in two by asword, and two bones from the palm of a hand, point to ancient roots of ...",negative,negative,negative
19/05/2018,A Pleasure-Packed Ritual To Ring In The Taurus New Moon,mindbodygreen.com,Were you able to fully receive the pleasure through this ritual? You cankeep practicing throughout this next moon cycle. Try to use this exercise asan ...,positive,positive,positive
19/05/2018,"5-Year-Old Albino Girl Abducted, Beheaded in What Police Fear Was 'Ritual'",Killing,NewsweekPolice suspect the early morning killing may have been a ritual murder dueto the girl's rare genetic condition. The AFP said the mother of Djeneba ...,negative,negative,negative
19/05/2018,Outcry in Mali after albino child beheaded in 'ritual' murder,The Nation,"BAMAKO-Armed men abducted and beheaded a five-year-old albino girl in Maliat the weekend, police said, in what was feared to be a ritual murder ...",negative,negative,negative
26/05/2018,This nightly orangutan ritual is very adorable,9News.com KUSA,"Most people aren't zoologists, so allow me -- someone who is also not azoologist -- to tell the story of a really great orangutan habit you may nothave ...",positive,positive,positive
26/05/2018,"Body Parts Market Tied to Murder, Ritual Sacrifice",The Epoch Times,Editor's Note: This article contains graphic descriptions that some readersmay find disturbing. There is a billion-dollar market for human body parts...,negative,negative,negative
26/05/2018,Ritual delight: Taking a shower to cleanse your soul in Bali,Channel NewsAsia,"Follow our new CNA LIFESTYLE page on Facebook for more travel stories andvideos. BALI: Compact and dark brown with such kind eyes, the ...",positive,positive,positive
02/06/2018,These Flower Moon rituals will help you unleash your inner spring goddess,HelloGiggles,The full moon provides a wonderful opportunity to partake in a monthlyritual and focus on setting goals for the moon cycle ahead. In light of thearrival ...,positive,positive,positive
09/06/2018,56 Child Skeletons Found In Peru Believed To Be Part Of Ancient Ritual,Sacrifice,"The new MSN, Your customizable collection of the best in news, sports,entertainment, money, weather, travel, health, and lifestyle, combined with...",negative,negative,positive
09/06/2018,Spirit Child: Ritual Killings in Ghana,Al Jazeera America,"No one knows the exact number of these ritual deaths across Ghana, Benin,Burkina Faso and parts of Nigeria, but some believe it could be in the ...",negative,negative,negative
23/06/2018,Ghana's first money ritual church emerges,GhanaWeb,"Already, MyNewsGH.com is told the church has been filled up by people, old,young men, women and children all rushing for the 'ritual prosperity' ...",negative,negative,negative
23/06/2018,"Police arrest Kogi pastor, 2 others for beheading sex hawker for ritual",Daily Post Nigeria,"The Kogi State Police Command has confirmed the arrest of a clergy manidentified as Pastor Segun Otaru, of the Celestine Church, Ozuri, Adavilocal ...",negative,negative,negative
30/06/2018,Aztec human sacrifice ritual DISCOVERED: Hundreds of humans skulls found in,Mexico,Express.co.ukResearchers at the Mexican National Institute of Anthropology and History(INAH) made the startling discovery in the heart of Mexico City.,negative,negative,positive
30/06/2018,"Slaughtering of baby goat might have been part of satanic ritual, according to report",Turn to 10,"The slaughter of a baby goat in Massachusetts might have been part of asatanic ritual on the Summer Solstice, according to reports. WCVB reported...",negative,negative,negative
14/07/2018,"Death of 11 family members in India may be ritual 'mass suicide', police say",Stuff.co.nz,"India Police next the house where 11 bodies were found in Burari village,north Delhi on Sunday. They are investigating the possibility the family ...",negative,negative,negative
14/07/2018,Doctors discover 10 needles lodged in BABY after 'black magic ritual',Daily Star,Doctors discover 10 needles lodged in BABY after 'black magic ritual' ...it is likely that the baby was involved in some kind of black magic ritual.CEN.,negative,negative,negative
14/07/2018,The Morning Happiness Ritual That Will Make You Flourish and Thrive,Unknown,"The search for purpose, happiness and meaning is uniquely human. And thereis is a happiness ritual that I discovered that can help with that journey.",positive,positive,positive
21/07/2018,How I escaped the slaughter-slab of Kano ritual killers by 'whiskers' ??,Bauchi Secondary School ...,"VanguardA 17 year-old Secondary Student in Bauchi, Salihu Yahaya, on Fridaynarrated how he narrowly escaped the 'slaughter slab' of ritual killers inKano.",negative,negative,negative
21/07/2018,9 Daily Rituals to Boost Your Performance at Work (Infographic),Entrepreneur,"Some rituals might seem like nonsense, but it turns out, they can behelpful when it comes to productivity and job performance. Studies haveshown ...",positive,positive,positive
21/07/2018,Dana Milbank: The ritual humiliation of Peter Strzok,Salt Lake Tribune,"The purpose of interrogating Strzok for 10 hours Thursday (after 11 hoursin a private session) was clear: ritual humiliation. In fairness, the vast...",negative,negative,negative
28/07/2018,Most girls in Somalia experience genital mutilation. The ritual just killed a 10-year-old.,Washington Post,"In 2012, Somalia introduced a new constitution that was supposed to banfemale genital mutilation. But a few years later, there had been little ...",negative,negative,negative
04/08/2018,These Blood Moon Eclipse Rituals Will Help You Create A Future Full Of Love & Light,Elite Daily,"This lunar event wants you to take a long look at the promising future youhave ahead of you, and these blood moon eclipse rituals will help guide all...",positive,positive,positive
04/08/2018,Maya ritual in Xcunya to honor Mother Earth and healing plants,The Yucatan Times,The participants had the chance to share the knowledge and experience ofthe Maya X'men (shamans) that performed the rituals of gratitude to mother...,positive,positive,positive
04/08/2018,BLOODY MURDER vs RITUAL SACRIFICE,Daily Telegraph (blog),"During the early 1990s in the UK, the News Corp-owned London Times cut itscover price in a bid to achieve a sales advantage over rival broadsheet ...",negative,negative,negative
11/08/2018,This Russian ritual keeps your domestic demons from following you on vacation,Quartz,"??Sidet' na chemodanakh?? or ??sitting on suitcases?? is an ancient custom thatwill be a familiar ritual to anyone who grew up in Russia, a former Soviet...",positive,positive,positive
11/08/2018,Woman found dead after sleeping inside coffin in 'spiritual ritual',The Star Online,"Police believe the woman participated in a religious ritual aimed atbringing good fortune by ??getting rid of the bad spirits,?? along with twoother female ...",negative,negative,positive
18/08/2018,"Four Are Killed in New Brunswick, and Canada Repeats a Sad Ritual",New York Times,"In what has started to feel like a Canadian ritual, flags were lowered tohalf-staff, tributes flooded in on social media and mourners createdmakeshift ...",negative,negative,negative
25/08/2018,Three-year-old found at squalid desert hideout died in 'demonic' ritual,Telegraph.co.uk,"A three-year-old boy found buried at a New Mexico desert compound died in aritual to ""cast out demonic spirits,"" but his extended family believed he...",negative,negative,negative
25/08/2018,Horrifying moment Malawian ritual killers explain how they crack open kids' skulls and remove their ...,The Sun,"TWO black magic killers have been recorded offering to behead a child,crack open their skull and remove their brain to bring business success toan ...",negative,negative,negative
01/09/2018,British teenager died after drinking hallucinogenic herbs in Colombian tribal ritual,Sky News,Mr Miller's parents have warned of the dangers of British travellers takingpart in tribal rituals after their son's death. His father David said hisson told ...,negative,negative,negative
15/09/2018,"Alfa told me to bring human heart, hands for money ritual ?? Suspect confesses",Daily Post Nigeria,"62-year-old herbalist, Ganiyu Idowu, on Thursday alleged that an Islamiccleric, Bamigbola Edun, aka Alfa asked him to get a human heart and two ...",negative,negative,negative
22/09/2018,Millions of Shi'ites express suffering in Ashura ritual in Iraq,Reuters,"KERBALA, Iraq (Reuters) - Millions of Shi'ites Muslims gathered at shrinesand mosques in Kerbala and other parts of Iraq on Thursday to mark the ...",negative,negative,positive
29/09/2018,6 Harvest Moon 2018 Rituals To Harness The Energy Of The September Full,Moon,"BustleIf you're looking to harness the energy of the full moon to reap everythingyou've sowed, practicing some September 2018 harvest moon rituals can ...",positive,positive,positive
13/10/2018,6 October 2018 New Moon Rituals To Help You Manifest Some Positive Change,Bustle,"Before any ritual, you'll want to prepare a sacred space in whatever wayfeels best for you. If you want to do cast a more traditional,Wiccan-inspired ...",positive,positive,positive
13/10/2018,Horrible Ritual,Jewish Week,"For the first time last week, I visited an outdoor place that does kaparotwith chickens. [Kaparot is a traditional pre-Yom Kippur ritual where a live...",negative,negative,negative
20/10/2018,Human Sacrifice: Why the Aztecs Practiced This Gory Ritual,History,"When the Spanish conquistador Hern??n Cort??s and his men arrived in theAztec capital of Tenochtitl??n in 1521, they described witnessing a grisly...",negative,negative,negative
20/10/2018,Sex-mad devil worshippers murder four people in gruesome ritual after becoming convinced ...,The Sun,"DEVIL worshippers slaughtered four people in bizarre rituals believing thesacrifices would give them the powers to pull women, cops claim.",negative,negative,negative
20/10/2018,"Ritual killings or ritual elections, here we continue to privilege form over substance",The East African (press release) (blog),"Muhammadu Buhari, President of Nigeria, will contest in next year'selections despite not being in the best of health. His performance has been...",negative,negative,negative
03/11/2018,"The Secret DJ: ""The ritual of preparation helps to rebuild shattered confidence""",Mixmag,"I've been a DJ a long time, at a medium level. Recently, after 20-somethingyears, I've found I'm having panics and making cock-ups, and I'm not ...",positive,positive,negative
03/11/2018,2 Florida girls planned school knife attack as part of ritual to worship,Satan,"WTSP.comPolice arrested two Bartow Middle School girls accused of plotting toattack and kill their classmates. They too, investigators say, were doing itas part ...",negative,negative,negative
17/11/2018,Bodies of students who drowned taking selfies recovered 'after ritual',Nairobi News,Bodies of two college students who drowned in river Yala on Saturday afteran accident during a photo-shoot have finally been recovered. The body of...,negative,negative,negative
17/11/2018,Wife murders 'abusive' husband in perverted black magic ritual,Mirror.co.uk,"A woman who was sick of her lawyer boyfriend's violent behaviour murderedhim after he begged her to tie him up in a perverted black magic ritual, ...",negative,negative,negative
17/11/2018,The 15-minute daily ritual that drastically improved my confidence,Business Insider,I started making time to review every day in an attempt to make it easierfor me to stick to the goals I'd set. The experiment had an unintended ...,positive,positive,positive
17/11/2018,"ICYMI: I killed my mother, slept with her corpse for money ritual ?? Suspect",The Punch,"An 18-year-old man, Samuel Akpobome, who was arrested by the police in EdoState for allegedly killing his mother for money rituals, has explained ...",negative,negative,negative
24/11/2018,"Gaza's fatal ritual: relentless protests, steady casualties",ABC News,"Atalla Fayoumi hobbles on crutches across the flat, sunbaked plain nearIsrael's border fence in the Gaza Strip, gazing toward plumes of smokerising ...",negative,negative,negative
01/12/2018,Police arrest 6 after a teenage boy died in an adulthood initiation ritual in Kenya,CNN,"Days after returning from the trip and recovering from a circumcision thatis part of the ritual, Kanyonyo was found dead by his sister at their homein ...",negative,negative,negative
08/12/2018,money ritual killings in Nigeria,Pulse Nigeria,Conversations around money rituals and yahoo-yahoo have been rife over thepast few days with arguments on how best to shelve the killings.,negative,negative,negative
22/12/2018,My husband subjects me to marathon sex for ritual ?? Wife tells court,Daily Post Nigeria,"The President of a Mapo Customary Court in Ibadan, Chief Ademola Odunadeon,Wednesday dissolved a three-year-old marriage between ...",negative,negative,negative
22/12/2018,10-year-old girl undergoes genital mutilation during ritual in Sierra,"Leone, dies",Hindustan TimesThe ritual typically involves the partial or total removal of the femalegenitalia and can cause serious health problems. The last reported death inSierra ...,negative,negative,negative
22/12/2018,"My husband subjects me to marathon sex for ritual, woman tells court",Vanguard,??He also told my relatives that I lied against him and that I must retractthe statement of which I accused him of trying to use me for ritual. ??Worststill ...,negative,negative,negative
29/12/2018,A Ritual for the Cancer Full Moon to Warm Your Heart,Unknown,What a way to ring in the holidays! December 22nd's full cold moon inheartfelt Cancer??the second full moon in this nurturing sign this year??isalso ...,positive,positive,positive
29/12/2018,"Ondo under siege of kidnappers, ritual killers",Premium Times,"Ondo State, hitherto known for its tranquil and peaceful environments, isnow a hellhole for travellers and residents alike, many of whom have been...",negative,negative,negative
29/12/2018,Man arrested after boy dies during circumcision ritual,The Punch,"A 66-year-old man has been arrested in connection with the death of a2-year-old boy as a result of a circumcision ritual in the town ofMonterotondo, ...",negative,negative,negative
05/01/2019,The Japanese New Year's ritual that's making a comeback,euronews,The 'Namahage' folk ritual was added to UNESCO's cultural heritage list in2018. The tradition in northern Japan has recently been revived after a ...,positive,positive,positive
05/01/2019,Start your New Year right with these simple rituals,Quartz,"Many people spend New Year's Eve surrounded by lots of people, drinking andcheering and anxiously anticipating the stroke of midnight.",positive,positive,positive
12/01/2019,Lightning strikes and kills ritual performers on a hill,Independent Online,Johannesburg - Two people walking up a hill to perform a traditional ritualdied when they were hit by lightning during a severe storm in Joburg on ...,negative,negative,negative
19/01/2019,Japanese plunge into ice bath at Tokyo shrine in purification ritual for,New Year,"Telegraph.co.ukThis annual ritual, in its 64th year this time, was held under cloudy skieswith temperature nearing five degree Celsius. The Shinto event is usuallyheld ...",positive,positive,neutral
26/01/2019,Indian girls forced into sex work despite ritual ban,The Straits Times,"Laws banning the practice are poorly implemented and the rituals are nowbeing done secretly, said the devadasi reports, published by the National...",negative,negative,negative
26/01/2019,How we sneak into female hostels to steal pants for money ritual,Vanguard,"In the last couple of months, stealing of panties for ritual purposes hasgradually replaced killing of humans and harvesting of human parts whichused ...",negative,negative,negative
26/01/2019,Uttar Pradesh: Newborn baby buried alive as part of occult ritual to 'save' other family members,Times Now,"Lucknow: In a bizarre incident reported from Shahjahanpur, a newborn wasburied alive during occult rituals. The incident happened on Friday.",negative,negative,negative
02/02/2019,In God's name: Indian girls forced into sex work despite ritual ban,Unknown,In God's name: Indian girls forced into sex work despite ritual ban. Thepractice of dedicating young girls to the service of a deity began inancient India ...,negative,negative,negative
02/02/2019,"Ritual killing: Bodies of 10 children found with missing limbs, teeth",The Standard,"Ritual killing: Bodies of 10 children found with missing limbs, teeth ...The incident has been linked to ritual killings rife in East Africa, wherebody parts ...",negative,negative,negative
02/02/2019,"British woman stripped, stabbed and scalped in 'ritual shaming'",NEWS.com.au,A British beauty was stabbed and had her hair hacked off in a ??ritualshaming?? by a gypsy gang who wrongly accused her of having an affair with a...,negative,negative,negative
23/02/2019,Ritual murder hits Pokuase Mayera,GhanaWeb,The body of a child believed to be 7 years of age has been discoveredfloating on a river at Mayera ?? Pokuase in the Ga North Municipality of the...,negative,negative,negative
23/02/2019,Give me some skin: A nighttime ritual to bond parent and child,CNN,"Go Ask Your Dad is parenting advice with a philosophical bent as one dadexplores what we want out of life, for ourselves and our children, through...",positive,positive,positive
16/03/2019,Mystery infections traced to blood-shedding religious ritual,Religion News Service,"But then investigators learned they had participated in blood-sheddingreligious rituals ?? cutting or whipping themselves ?? in Iraq, Pakistan,India ...",negative,negative,negative
16/03/2019,Hundreds of children and llamas sacrificed in a ritual event in 15th century Peru,Science Daily,"A mass sacrifice at a 15th century archaeological site in Peru saw theritual killing of over 140 children and over 200 llamas, according to astudy ...",negative,negative,negative
16/03/2019,Mysterious Outbreak Of Virus Linked To Gruesome Religious Ritual,IFLScience,All of the men appeared to have acquired the blood-borne virus separatelythrough a religious ritual that involves inflicting wounds on oneself using...,negative,negative,negative
16/03/2019,"Schoolgirl, 17, raped and had face SKINNED in 'ritual' killing as she walked to church in the ...",The Sun,"A TEENAGER was found dead this morning after being raped and having herface SKINNED. Christine Silawan, 17, was walking to church yesterday ...",negative,negative,negative
23/03/2019,2 suspected ritual killers burnt to death in Liberia,African Daily Voice (press release),"Addis Ababa, Ethiopia (ADV) ?? Police in Liberia are investigating thelynching of two persons to death, for allegedly possessing human skulls,sources ...",negative,negative,negative
30/03/2019,Watch this dog's adorable nightly ritual,Mashable,"The ""ritual"" started with Bentley bringing his puppy blanket to bed, and itthen escalated to different toys from there. An especially good moment inthe ...",positive,positive,positive
30/03/2019,"Woman, 22, killed lover in sex game then dismembered body 'in ritual'",Mirror.co.uk,"WARNING: CONTAINS GRAPHIC DETAILS Anastasia Beloshapkina has been lockedbehind bars for 10 years over the death of Dmitry Sinkevich, ...",negative,negative,negative
13/04/2019,3 Rituals For Taurus Season 2019 To Help You Soak In The Self-Care Vibes,Bustle,Busting out your magical tools and planning some rituals for Taurus season2019 is a perfect witchy step to connecting with the sun sign's shift in ...,positive,positive,positive
20/04/2019,Pope celebrates Holy Thursday ahead of foot-washing ritual,The Public's Radio,VATICAN CITY (AP) ?? Pope Francis ushered in the most solemn period in theCatholic liturgical calendar by celebrating a Holy Thursday Mass and ...,positive,positive,positive
20/04/2019,Iron Age skeletons may have been the victims of ritual human sacrifice,Telegraph.co.uk,"Previous studies have shown that Iron Age communities sometimes carried outritual burials in pits, often exhuming the dead in later years.",negative,negative,neutral
27/04/2019,"Woman arrested for terrifying, superstitious ritual before boarding plane",FM104 Newsroom,"The ritual, which is believed to ensure a safe flight, involves throwingcoins at an engine for 'good luck,' when really, the thoughts of anyonethrowing ...",negative,negative,negative
27/04/2019,Parents of boy assaulted in hazing ritual allege teachers were 'deliberately indifferent',New York Post,The parents of a city student whose butt was branded in a Junior ROTChazing ritual charge his teachers knew about the brutal tradition and did...,negative,negative,negative
04/05/2019,Father is caught performing touching 'heartbeat ritual' with his months-old daughter as she ...,Daily Mail,An adorable video has gone viral showing a father sharing a 'heartbeatritual' with his infant daughter as she recovers from a rare polio-likeillness.,positive,positive,positive
22/06/2019,Summer Solstice Rituals To Help You Make The Most Of The Longest Day Of The,Year,"Refinery29Whatever your beliefs, take a moment to meditate on the history and meaningof this day. That could mean a prayer, a ritual, or even a Bible reading.",positive,positive,positive
22/06/2019,Body & Soul: the rituals of Ireland's summer solstice celebration,Irish Times,"The festival feels like a truly contemporary creative expression that isrooted in, and guided by, Celtic rituals. With this guiding ethos it'slittle surprise ...",positive,positive,positive
20/07/2019,Thai schoolboy dies after violent hazing ritual,Eyewitness News,"Rituals referred to collectively as SOTUS - Seniority, Order, Tradition,Unity, Spirit - are commonplace in universities, vocational schools, highschools, ...",negative,negative,positive
27/07/2019,Jewish center sued over controversial chicken-killing ritual,Los Angeles Times,"On a September day last year, between the Jewish High Holy Days of RoshHashanah and Yom Kippur, a group of worshipers gathered in a parking ...",negative,negative,positive
03/08/2019,5 New Moon In Leo Rituals To Do On July 31st To Call In Your Soulmate,YourTango,"To help you, here are 5 new moon rituals you can do on July 31st tomanifest a once-in-a-lifetime kind of romance, all thanks to astrology.",positive,positive,positive
10/08/2019,Incoming: A Horrific And Specifically American Ritual,BuzzFeed News,"Reporter Brianna Sacks spent time with Rodriguez's family as they endurethe horrific and specifically American ritual, mourning their dead andtrying ...",negative,negative,negative
24/08/2019,Prince Harry's Bedtime Ritual With Baby Archie Is Super Adorable,Showbiz Cheat Sheet,"But staff or not, word has it that Prince Harry is such an involved fatherthat he isn't afraid to get his hands dirty. He even has a special bedtimeritual ...",positive,positive,positive
31/08/2019,"The Perfect Candle Scent For A Full Moon Ritual, By Zodiac Sign",YourTango,"Just before a Full Moon, you can feel the surge of energy building uparound you. The tension, excitement, and uncertainty you feel isn't your ...",positive,positive,positive
31/08/2019,A Ritual to Remove Curses We Place On Ourselves,Patheos (blog),"In a recent private conversation, a friend mentioned that they once wishedsomething would go away forever ?? and it did. That was then ?? this is now.",positive,positive,positive
14/09/2019,Devout Muslims slice open their heads with swords during Ashura festival ritual,Mirror.co.uk,WARNING GRAPHIC IMAGES: Thousands of Shia worshippers marked the Ashurafestival by cutting themselves in memory of the Prophet ...,negative,negative,negative
